level,game_id,away_team,home_team,team,player_name,prediction,value,home_win_probability,away_win_probability,projected_home_score,projected_away_score,likely_score,lineup_source,batting_order,polymarket_status,polymarket_market_id,polymarket_slug,polymarket_question,polymarket_url,polymarket_game_start_time,polymarket_fetched_at,polymarket_away_probability,polymarket_home_probability,polymarket_favorite,home_probability_edge,away_probability_edge,polymarket_volume,polymarket_liquidity,polymarket_total_status,polymarket_total_markets,market_premium_status,expected_market_home_premium_logit,expected_market_home_premium_points,synthetic_market_home_probability,synthetic_market_away_probability,synthetic_market_favorite,home_premium_adjusted_edge,away_premium_adjusted_edge,home_model_vs_synthetic_edge,away_model_vs_synthetic_edge,home_signal_edge,away_signal_edge,home_signal_score,away_signal_score,best_signal_team,best_signal_edge,best_signal_probability,best_signal_score,market_informed_status,market_informed_model_kind,base_home_win_probability,base_away_win_probability,market_informed_home_probability,market_informed_away_probability,market_informed_favorite,market_informed_home_delta,market_informed_away_delta,home_market_informed_edge,away_market_informed_edge
game,7bf80cf5-ed98-57e7-ac2b-61bee3332fa5,TOR,TBA,TBA,,winner,TBA,0.6731,0.3269,4.74,3.79,4-5,probable_roster,,matched,2124943,mlb-tor-tb-2026-05-06,Toronto Blue Jays vs. Tampa Bay Rays,https://polymarket.com/event/mlb-tor-tb-2026-05-06,2026-05-06 17:10:00+00,2026-05-06T08:16:02.848577+00:00,0.445,0.555,TBA,0.1181,-0.1181,8466.791311000003,37649.8338,matched,"[{""line"": 7.5, ""liquidity"": 9249.9446, ""market_id"": ""2167100"", ""over_probability"": 0.515, ""question"": ""Toronto Blue Jays vs. Tampa Bay Rays: O/U 7.5"", ""slug"": ""mlb-tor-tb-2026-05-06-total-7pt5"", ""under_probability"": 0.485, ""url"": ""https://polymarket.com/event/mlb-tor-tb-2026-05-06-total-7pt5"", ""volume"": """"}, {""line"": 8.5, ""liquidity"": 6460.3208, ""market_id"": ""2170648"", ""over_probability"": 0.44, ""question"": ""Toronto Blue Jays vs. Tampa Bay Rays: O/U 8.5"", ""slug"": ""mlb-tor-tb-2026-05-06-total-8pt5"", ""under_probability"": 0.56, ""url"": ""https://polymarket.com/event/mlb-tor-tb-2026-05-06-total-8pt5"", ""volume"": """"}]",estimated,-0.3761,-0.0874,0.5857,0.4143,TBA,0.0307,-0.0307,0.0874,-0.0874,-0.0329,0.0329,0.0,0.0,TBA,-0.0329,0.5221,0.0,estimated,logistic,0.6731,0.3269,0.5221,0.4779,TBA,-0.151,0.151,-0.0329,0.0329
game,13835c6d-ce91-53dd-af45-c8b31d34f817,MIL,SLN,SLN,,winner,SLN,0.5147,0.4853,4.29,4.29,4-5,probable_roster,,matched,2124950,mlb-mil-stl-2026-05-06,Milwaukee Brewers vs. St. Louis Cardinals,https://polymarket.com/event/mlb-mil-stl-2026-05-06,2026-05-06 17:15:00+00,2026-05-06T08:16:02.848577+00:00,0.505,0.495,MIL,0.0197,-0.0197,2640.7855090000003,33904.1058,matched,"[{""line"": 7.5, ""liquidity"": 1940.4087, ""market_id"": ""2169731"", ""over_probability"": 0.565, ""question"": ""Milwaukee Brewers vs. St. Louis Cardinals: O/U 7.5"", ""slug"": ""mlb-mil-stl-2026-05-06-total-7pt5"", ""under_probability"": 0.435, ""url"": ""https://polymarket.com/event/mlb-mil-stl-2026-05-06-total-7pt5"", ""volume"": 5.0}, {""line"": 8.5, ""liquidity"": 2177.1043, ""market_id"": ""2167102"", ""over_probability"": 0.505, ""question"": ""Milwaukee Brewers vs. St. Louis Cardinals: O/U 8.5"", ""slug"": ""mlb-mil-stl-2026-05-06-total-8pt5"", ""under_probability"": 0.495, ""url"": ""https://polymarket.com/event/mlb-mil-stl-2026-05-06-total-8pt5"", ""volume"": 495.993468}]",estimated,-0.0503,-0.0126,0.5021,0.4979,SLN,0.0071,-0.0071,0.0126,-0.0126,-0.0076,0.0076,0.0,0.9478,MIL,0.0076,0.5126,0.9478,estimated,logistic,0.5147,0.4853,0.4874,0.5126,MIL,-0.0273,0.0273,-0.0076,0.0076
game,1c406587-980b-5b80-9d4b-f67d5df282ac,LAN,HOU,LAN,,winner,LAN,0.4544,0.5456,3.25,3.92,4-3,probable_roster,,matched,2124957,mlb-lad-hou-2026-05-06,Los Angeles Dodgers vs. Houston Astros,https://polymarket.com/event/mlb-lad-hou-2026-05-06,2026-05-06 18:10:00+00,2026-05-06T08:16:02.848577+00:00,0.655,0.345,LAN,0.1094,-0.1094,8051.580723999999,29157.0815,matched,"[{""line"": 8.5, ""liquidity"": 8348.9487, ""market_id"": ""2170197"", ""over_probability"": 0.545, ""question"": ""Los Angeles Dodgers vs. Houston Astros: O/U 8.5"", ""slug"": ""mlb-lad-hou-2026-05-06-total-8pt5"", ""under_probability"": 0.455, ""url"": ""https://polymarket.com/event/mlb-lad-hou-2026-05-06-total-8pt5"", ""volume"": 30.434781}, {""line"": 9.5, ""liquidity"": 9069.3995, ""market_id"": ""2167104"", ""over_probability"": 0.435, ""question"": ""Los Angeles Dodgers vs. Houston Astros: O/U 9.5"", ""slug"": ""mlb-lad-hou-2026-05-06-total-9pt5"", ""under_probability"": 0.565, ""url"": ""https://polymarket.com/event/mlb-lad-hou-2026-05-06-total-9pt5"", ""volume"": 1081.9776689999999}]",estimated,-0.3762,-0.0906,0.3638,0.6362,LAN,0.0188,-0.0188,0.0906,-0.0906,0.1237,-0.1237,0.0,0.0,LAN,-0.1237,0.5313,0.0,estimated,logistic,0.4544,0.5456,0.4687,0.5313,LAN,0.0143,-0.0143,0.1237,-0.1237
game,9553348f-1cf8-5750-92cf-edaeb8a62d19,SDN,SFN,SDN,,winner,SDN,0.4855,0.5145,3.95,4.47,5-4,probable_roster,,matched,2124972,mlb-sd-sf-2026-05-06,San Diego Padres vs. San Francisco Giants,https://polymarket.com/event/mlb-sd-sf-2026-05-06,2026-05-06 19:45:00+00,2026-05-06T08:16:02.848577+00:00,0.515,0.485,SDN,0.0005,-0.0005,3051.0504929999997,46446.146,matched,"[{""line"": 8.5, ""liquidity"": 10596.836, ""market_id"": ""2167106"", ""over_probability"": 0.515, ""question"": ""San Diego Padres vs. San Francisco Giants: O/U 8.5"", ""slug"": ""mlb-sd-sf-2026-05-06-total-8pt5"", ""under_probability"": 0.485, ""url"": ""https://polymarket.com/event/mlb-sd-sf-2026-05-06-total-8pt5"", ""volume"": 2278.36094}]",estimated,0.0026,0.0007,0.4862,0.5138,SDN,0.0012,-0.0012,-0.0007,0.0007,-0.0029,0.0029,0.0,0.5197,SDN,0.0029,0.5179,0.5197,estimated,logistic,0.4855,0.5145,0.4821,0.5179,SDN,-0.0034,0.0034,-0.0029,0.0029
game,d07e168a-3dec-5360-9316-35f4696845e8,CHA,ANA,ANA,,winner,ANA,0.5698,0.4302,4.3,4.38,4-5,probable_roster,,matched,2124980,mlb-cws-laa-2026-05-06,Chicago White Sox vs. Los Angeles Angels,https://polymarket.com/event/mlb-cws-laa-2026-05-06,2026-05-06 20:07:00+00,2026-05-06T08:16:02.848577+00:00,0.505,0.495,CHA,0.0748,-0.0748,4337.950783,29900.22,matched,"[{""line"": 8.5, ""liquidity"": 2804.3463, ""market_id"": ""2167108"", ""over_probability"": 0.545, ""question"": ""Chicago White Sox vs. Los Angeles Angels: O/U 8.5"", ""slug"": ""mlb-cws-laa-2026-05-06-total-8pt5"", ""under_probability"": 0.455, ""url"": ""https://polymarket.com/event/mlb-cws-laa-2026-05-06-total-8pt5"", ""volume"": 5.0}, {""line"": 9.5, ""liquidity"": 2.45, ""market_id"": ""2171365"", ""over_probability"": 0.5, ""question"": ""Chicago White Sox vs. Los Angeles Angels: O/U 9.5"", ""slug"": ""mlb-cws-laa-2026-05-06-total-9pt5"", ""under_probability"": 0.5, ""url"": ""https://polymarket.com/event/mlb-cws-laa-2026-05-06-total-9pt5"", ""volume"": """"}]",estimated,-0.1622,-0.0401,0.5297,0.4703,ANA,0.0347,-0.0347,0.0401,-0.0401,0.0114,-0.0114,0.7291,0.0,ANA,0.0114,0.5064,0.7291,estimated,logistic,0.5698,0.4302,0.5064,0.4936,ANA,-0.0634,0.0634,0.0114,-0.0114
game,70a5fdaa-9ccb-5fa2-8a7a-739b02873266,ATL,SEA,SEA,,winner,SEA,0.5724,0.4276,4.19,4.14,4-5,probable_roster,,matched,2124991,mlb-atl-sea-2026-05-06,Atlanta Braves vs. Seattle Mariners,https://polymarket.com/event/mlb-atl-sea-2026-05-06,2026-05-06 20:10:00+00,2026-05-06T08:16:02.848577+00:00,0.445,0.555,SEA,0.0174,-0.0174,984.850558,33479.1909,matched,"[{""line"": 8.5, ""liquidity"": 8796.268, ""market_id"": ""2167519"", ""over_probability"": 0.475, ""question"": ""Atlanta Braves vs. Seattle Mariners: O/U 8.5"", ""slug"": ""mlb-atl-sea-2026-05-06-total-8pt5"", ""under_probability"": 0.525, ""url"": ""https://polymarket.com/event/mlb-atl-sea-2026-05-06-total-8pt5"", ""volume"": 2409.889577}]",estimated,-0.0521,-0.0128,0.5596,0.4404,SEA,0.0046,-0.0046,0.0128,-0.0128,0.0295,-0.0295,24.9147,0.0,SEA,0.0295,0.5845,24.9147,estimated,logistic,0.5724,0.4276,0.5845,0.4155,SEA,0.0121,-0.0121,0.0295,-0.0295
game,e34ffd36-6bdf-5265-9740-663fbe005dba,ATH,PHI,PHI,,winner,PHI,0.5328,0.4672,4.41,4.25,4-5,probable_roster,,matched,2124997,mlb-oak-phi-2026-05-06,Athletics vs. Philadelphia Phillies,https://polymarket.com/event/mlb-oak-phi-2026-05-06,2026-05-06 22:40:00+00,2026-05-06T08:16:02.848577+00:00,0.385,0.615,PHI,-0.0822,0.0822,4216.979824,39972.1593,matched,"[{""line"": 8.5, ""liquidity"": 9810.9147, ""market_id"": ""2167523"", ""over_probability"": 0.505, ""question"": ""Athletics vs. Philadelphia Phillies: O/U 8.5"", ""slug"": ""mlb-oak-phi-2026-05-06-total-8pt5"", ""under_probability"": 0.495, ""url"": ""https://polymarket.com/event/mlb-oak-phi-2026-05-06-total-8pt5"", ""volume"": 990.204584}]",estimated,0.2083,0.0513,0.5841,0.4159,PHI,-0.0309,0.0309,-0.0513,0.0513,-0.0246,0.0246,0.0,0.0,PHI,-0.0246,0.5904,0.0,estimated,logistic,0.5328,0.4672,0.5904,0.4096,PHI,0.0576,-0.0576,-0.0246,0.0246
game,98b50dde-2d06-55ba-9530-42f815b01828,BAL,MIA,MIA,,winner,MIA,0.5099,0.4901,4.31,4.02,4-5,probable_roster,,matched,2124995,mlb-bal-mia-2026-05-06,Baltimore Orioles vs. Miami Marlins,https://polymarket.com/event/mlb-bal-mia-2026-05-06,2026-05-06 22:40:00+00,2026-05-06T08:16:02.848577+00:00,0.455,0.545,MIA,-0.0351,0.0351,4553.509838999999,45031.4643,matched,"[{""line"": 8.5, ""liquidity"": 9900.6138, ""market_id"": ""2167521"", ""over_probability"": 0.505, ""question"": ""Baltimore Orioles vs. Miami Marlins: O/U 8.5"", ""slug"": ""mlb-bal-mia-2026-05-06-total-8pt5"", ""under_probability"": 0.495, ""url"": ""https://polymarket.com/event/mlb-bal-mia-2026-05-06-total-8pt5"", ""volume"": 52.843075}]",estimated,0.066,0.0165,0.5264,0.4736,MIA,-0.0186,0.0186,-0.0165,0.0165,-0.0042,0.0042,0.0,0.0,MIA,-0.0042,0.5408,0.0,estimated,logistic,0.5099,0.4901,0.5408,0.4592,MIA,0.0309,-0.0309,-0.0042,0.0042
game,4f7ad036-418c-54bf-8e01-4d9c6ef27005,BOS,DET,DET,,winner,DET,0.531,0.469,4.21,4.1,4-5,probable_roster,,matched,2124993,mlb-bos-det-2026-05-06,Boston Red Sox vs. Detroit Tigers,https://polymarket.com/event/mlb-bos-det-2026-05-06,2026-05-06 22:40:00+00,2026-05-06T08:16:02.848577+00:00,0.485,0.515,DET,0.016,-0.016,11066.684037,20918.5914,matched,"[{""line"": 8.5, ""liquidity"": 1322.6627, ""market_id"": ""2169735"", ""over_probability"": 0.505, ""question"": ""Boston Red Sox vs. Detroit Tigers: O/U 8.5"", ""slug"": ""mlb-bos-det-2026-05-06-total-8pt5"", ""under_probability"": 0.495, ""url"": ""https://polymarket.com/event/mlb-bos-det-2026-05-06-total-8pt5"", ""volume"": 1098.342154}]",estimated,-0.1499,-0.0374,0.4936,0.5064,BOS,-0.0214,0.0214,0.0374,-0.0374,-0.0282,0.0282,0.0,3.7274,BOS,0.0282,0.5132,3.7274,estimated,logistic,0.531,0.469,0.4868,0.5132,BOS,-0.0442,0.0442,-0.0282,0.0282
game,6e02a797-2186-597b-94b1-60d10e1ad4f2,MIN,WAS,MIN,,winner,MIN,0.4206,0.5794,4.11,4.75,5-4,probable_roster,,matched,2125000,mlb-min-wsh-2026-05-06,Minnesota Twins vs. Washington Nationals,https://polymarket.com/event/mlb-min-wsh-2026-05-06,2026-05-06 22:45:00+00,2026-05-06T08:16:02.848577+00:00,0.545,0.455,MIN,-0.0344,0.0344,4902.605479,27570.5322,matched,"[{""line"": 9.5, ""liquidity"": 15457.1575, ""market_id"": ""2167525"", ""over_probability"": 0.475, ""question"": ""Minnesota Twins vs. Washington Nationals: O/U 9.5"", ""slug"": ""mlb-min-wsh-2026-05-06-total-9pt5"", ""under_probability"": 0.525, ""url"": ""https://polymarket.com/event/mlb-min-wsh-2026-05-06-total-9pt5"", ""volume"": 2683.4948749999994}]",estimated,0.0401,0.0098,0.4304,0.5696,MIN,-0.0246,0.0246,-0.0098,0.0098,0.021,-0.021,0.0,0.0,MIN,-0.021,0.524,0.0,estimated,logistic,0.4206,0.5794,0.476,0.524,MIN,0.0554,-0.0554,0.021,-0.021
